"","Sno","Province","Coal Field","District","Mine","Notes","Worked by Joint Stock Companies","Worked by private owners","Worked by Government of India","Non-Act mines","When Opened","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","lat_manual","long_manual","geo","coordinates.lon","coordinates.lat"
"371",371,"Bengal","Raniganj","Burdwan","Gopalpur",NA, 1,NA,NA,NA,"1898",NA,NA,NA,NA,NA,NA,NA,NA,NA,   18391,"23.698841889785744"," 86.93111856764557","Burdwan District, Gopalpur",87.32121,23.48222
"372",372,"Bengal","Raniganj","Burdwan","Gopalpur",NA, 1,NA,NA,NA,"1908",NA,NA,NA,NA,NA,NA,NA,NA,NA,    1800,"23.698841889785744"," 86.93111856764557","Burdwan District, Gopalpur",87.32121,23.48222
"373",373,"Bengal","Raniganj","Burdwan","Haripur",NA, 1,NA,NA,NA,"1899",NA,NA,NA,NA,NA,NA,NA,NA,NA,   19194,"23.67791393504224"," 87.19075836388829","Burdwan District, Haripur",87.19346,23.67733
"374",374,"Bengal","Raniganj","Burdwan","Hatgaroole","Location unclear", 1,NA,NA,NA,"1907",NA,NA,NA,NA,NA,NA,NA,NA,NA,   33076,"23.723872369605733"," 86.89375249212674","Burdwan District, Hatgaroole",87.61864,23.45953
"375",375,"Bengal","Raniganj","Burdwan","Jamgram",NA, 1,NA,NA,NA,"1901",NA,NA,NA,NA,NA,NA,NA,NA,NA,   67484,"23.648427009320468"," 87.07127644118658","Burdwan District, Jamgram",87.01744,23.81193
"376",376,"Bengal","Raniganj","Burdwan","Jamuria",NA, 1,NA,NA,NA,"1895",NA,NA,NA,NA,NA,NA,NA,NA,NA,  127067,"23.70366606765668"," 87.07613497054095","Burdwan District, Jamuria",87.07741,23.70607
"377",377,"Bengal","Raniganj","Burdwan","Joba",NA, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,   27376,"23.665595207949316"," 87.06333821383161","Burdwan District, Joba",87.61864,23.45953
"378",378,"Bengal","Raniganj","Burdwan","Jote Janaki",NA, 1,NA,NA,NA,"1892",NA,NA,NA,NA,NA,NA,NA,NA,NA,   21207,"23.666333895093928"," 87.14287190411223","Burdwan District, Jote Janaki",87.14478,23.66867
"379",379,"Bengal","Raniganj","Burdwan","Joyramchak","Location unclear", 1,NA,NA,NA,"1908",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"22.526601317525685"," 87.80037551014343","Burdwan District, Joyramchak",87.61864,23.45953
"380",380,"Bengal","Raniganj","Burdwan","Jubilee",NA, 1,NA,NA,NA,"1901",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"NA",NA,"Burdwan District, Jubilee",87.61864,23.45953
"381",381,"Bengal","Raniganj","Burdwan","Juggodi",NA, 1,NA,NA,NA,"1908",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"NA",NA,"Burdwan District, Juggodi",87.61864,23.45953
"382",382,"Bengal","Raniganj","Burdwan","Kalipahari",NA, 1,NA,NA,NA,"1901",NA,NA,NA,NA,NA,NA,NA,NA,NA,     669,"23.430710476244165"," 86.87420361504196","Burdwan District, Kalipahari",87.01618,23.66503
"383",383,"Bengal","Raniganj","Burdwan","Kantapahari",NA, 1,NA,NA,NA,"1898",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"23.24108941718388"," 86.84506612858877","Burdwan District, Kantapahari",86.99119,23.80993
"384",384,"Bengal","Raniganj","Burdwan","Kantapahari",NA, 1,NA,NA,NA,"1906",NA,NA,NA,NA,NA,NA,NA,NA,NA,   71124,"23.24108941718388"," 86.84506612858877","Burdwan District, Kantapahari",86.99119,23.80993
"385",385,"Bengal","Raniganj","Burdwan","Kenda",NA, 1,NA,NA,NA,"1907",NA,NA,NA,NA,NA,NA,NA,NA,NA,   22382,"23.190029935935947"," 86.51278826558888","Burdwan District, Kenda",87.16971,23.67508
"386",386,"Bengal","Raniganj","Burdwan","Kendwa",NA, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,   10410,"23.23550223253833"," 87.06870148908428","Burdwan District, Kendwa",86.84003,23.73944
"387",387,"Bengal","Raniganj","Burdwan","Koolustore",NA, 1,NA,NA,NA,"1908",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"NA",NA,"Burdwan District, Koolustore",87.61864,23.45953
"388",388,"Bengal","Raniganj","Burdwan","Kuardih",NA, 1,NA,NA,NA,"1906",NA,NA,NA,NA,NA,NA,NA,NA,NA,   43152,"23.64479505397326"," 87.03187347700172","Burdwan District, Kuardih",87.26586,23.66794
"389",389,"Bengal","Raniganj","Burdwan","Kuardih","East", 1,NA,NA,NA,"1907",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"23.64479505397326"," 87.03187347700172","Burdwan District, Kuardih",87.26586,23.66794
"390",390,"Bengal","Raniganj","Burdwan","Lakshmiganj",NA, 1,NA,NA,NA,"1908",NA,NA,NA,NA,NA,NA,NA,NA,NA,    2300,"23.480627975066696"," 87.71039507244224","Burdwan District, Lakshmiganj",87.71044,23.48050
"391",391,"Bengal","Raniganj","Burdwan","Lochipur",NA, 1,NA,NA,NA,"1890",NA,NA,NA,NA,NA,NA,NA,NA,NA,   52238,"23.408287319506297"," 87.01605264620493","Burdwan District, Lochipur",87.61864,23.45953
"392",392,"Bengal","Raniganj","Burdwan","Lochipur",NA, 1,NA,NA,NA,"1899",NA,NA,NA,NA,NA,NA,NA,NA,NA,   26085,"23.408287319506297"," 87.01605264620493","Burdwan District, Lochipur",87.61864,23.45953
"393",393,"Bengal","Raniganj","Burdwan","Madhabpur",NA, 1,NA,NA,NA,"1908",NA,NA,NA,NA,NA,NA,NA,NA,NA,   19800,"23.438197345154684"," 86.97164508147114","Burdwan District, Madhabpur",87.16597,23.62001
"394",394,"Bengal","Raniganj","Burdwan","Mahmadpur and Monjari",NA, 1,NA,NA,NA,"1892/1902",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"NA",NA,"Burdwan District, Mahmadpur and Monjari",87.61864,23.45953
"395",395,"Bengal","Raniganj","Burdwan","Mondolpur",NA, 1,NA,NA,NA,"1907",NA,NA,NA,NA,NA,NA,NA,NA,NA,      85,"23.69194441222223"," 87.08635738931305","Burdwan District, Mondolpur",87.61864,23.45953
"396",396,"Bengal","Raniganj","Burdwan","Mosila","Location unclear, used PO location", 1,NA,NA,NA,"1889",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"23.429221834578097"," 86.87492521925482","Burdwan District, Mosila",87.61864,23.45953
"397",397,"Bengal","Raniganj","Burdwan","Mosila","Location unclear, used PO location", 1,NA,NA,NA,"1892",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"23.429221834578097"," 86.87492521925482","Burdwan District, Mosila",87.61864,23.45953
"398",398,"Bengal","Raniganj","Burdwan","Mosila","Location unclear, used PO location", 1,NA,NA,NA,"1901",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"23.429221834578097"," 86.87492521925482","Burdwan District, Mosila",87.61864,23.45953
"399",399,"Bengal","Raniganj","Burdwan","Mouzra Sorthakpur and Basantipore",NA, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,   17823,"NA",NA,"Burdwan District, Mouzra Sorthakpur and Basantipore",80.60771,28.06196
"400",400,"Bengal","Raniganj","Burdwan","Muslia",NA, 1,NA,NA,NA,"1908",NA,NA,NA,NA,NA,NA,NA,NA,NA,   16169,"23.66822539335595"," 86.97842086246382","Burdwan District, Muslia",87.61864,23.45953
"401",401,"Bengal","Raniganj","Burdwan","Nandi",NA, 1,NA,NA,NA,"1893",NA,NA,NA,NA,NA,NA,NA,NA,NA,   57740,"23.70338017910429"," 87.07527794390685","Burdwan District, Nandi",87.07616,23.70159
"402",402,"Bengal","Raniganj","Burdwan","Nandi",NA, 1,NA,NA,NA,"1899",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"23.70338017910429"," 87.07527794390685","Burdwan District, Nandi",87.07616,23.70159
"403",403,"Bengal","Raniganj","Burdwan","Nandi",NA, 1,NA,NA,NA,"1895",NA,NA,NA,NA,NA,NA,NA,NA,NA,   14503,"23.70338017910429"," 87.07527794390685","Burdwan District, Nandi",87.07616,23.70159
"404",404,"Bengal","Raniganj","Burdwan","Nandiraipur",NA, 1,NA,NA,NA,"1893",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"NA",NA,"Burdwan District, Nandiraipur",87.61864,23.45953
"405",405,"Bengal","Raniganj","Burdwan","Narsamuda",NA, 1,NA,NA,NA,"1896",NA,NA,NA,NA,NA,NA,NA,NA,NA,   65904,"23.693047329053588"," 86.92918631116564","Burdwan District, Narsamuda",86.92791,23.69202
"406",406,"Bengal","Raniganj","Burdwan","Napara",NA, 1,NA,NA,NA,"1906",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"23.219559488494657"," 86.64516872845118","Burdwan District, Napara",88.07969,23.05587
"407",407,"Bengal","Raniganj","Burdwan","Napara",NA, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,   13619,"23.219559488494657"," 86.64516872845118","Burdwan District, Napara",88.07969,23.05587
"408",408,"Bengal","Raniganj","Burdwan","Napara",NA, 1,NA,NA,NA,"1899",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"23.219559488494657"," 86.64516872845118","Burdwan District, Napara",88.07969,23.05587
"409",409,"Bengal","Raniganj","Burdwan","Nichinta",NA, 1,NA,NA,NA,"1901",NA,NA,NA,NA,NA,NA,NA,NA,NA,    4518,"23.68618718908898"," 87.03619861509182","Burdwan District, Nichinta",87.61864,23.45953
"410",410,"Bengal","Raniganj","Burdwan","Nimcha",NA, 1,NA,NA,NA,"1905",NA,NA,NA,NA,NA,NA,NA,NA,NA,   33754,"23.627390236785217"," 87.07511633343923","Burdwan District, Nimcha",87.07479,23.62768
"411",411,"Bengal","Raniganj","Burdwan","Nimcha",NA, 1,NA,NA,NA,"1908",NA,NA,NA,NA,NA,NA,NA,NA,NA,   11128,"23.627390236785217"," 87.07511633343923","Burdwan District, Nimcha",87.07479,23.62768
"412",412,"Bengal","Raniganj","Burdwan","Nimchar",NA, 1,NA,NA,NA,"1854",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"23.627390236785217"," 87.07511633343923","Burdwan District, Nimchar",87.61864,23.45953
"413",413,"Bengal","Raniganj","Burdwan","Nuni",NA, 1,NA,NA,NA,"1905",NA,NA,NA,NA,NA,NA,NA,NA,NA,   30523,"23.74742267843452"," 86.95922673118856","Burdwan District, Nuni",86.95991,23.74840
"414",414,"Bengal","Raniganj","Burdwan","Nuni",NA, 1,NA,NA,NA,"1908",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"23.74742267843452"," 86.95922673118856","Burdwan District, Nuni",86.95991,23.74840
"415",415,"Bengal","Raniganj","Burdwan","Naniapole",NA, 1,NA,NA,NA,"1901",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"NA",NA,"Burdwan District, Naniapole",87.61864,23.45953
"416",416,"Bengal","Raniganj","Burdwan","Panchgachia",NA, 1,NA,NA,NA,"1901",NA,NA,NA,NA,NA,NA,NA,NA,NA,   40005,"23.72900734630433"," 86.95465038967038","Burdwan District, Panchgachia",86.95490,23.73047
"417",417,"Bengal","Raniganj","Burdwan","Parandip",NA, 1,NA,NA,NA,"1895",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"NA",NA,"Burdwan District, Parandip",87.61864,23.45953
"418",418,"Bengal","Raniganj","Burdwan","Parasea",NA, 1,NA,NA,NA,"1908",NA,NA,NA,NA,NA,NA,NA,NA,NA,    4500,"23.646955305075803"," 87.15890079191243","Burdwan District, Parasea",87.15974,23.65111
"419",419,"Bengal","Raniganj","Burdwan","Pottery",NA, 1,NA,NA,NA,"1907",NA,NA,NA,NA,NA,NA,NA,NA,NA,   18679,"NA",NA,"Burdwan District, Pottery",87.61864,23.45953
"420",420,"Bengal","Raniganj","Burdwan","Pretoria",NA, 1,NA,NA,NA,"1900",NA,NA,NA,NA,NA,NA,NA,NA,NA,   59035,"NA",NA,"Burdwan District, Pretoria",87.61864,23.45953
"421",421,"Bengal","Raniganj","Burdwan","Raghunathbati",NA, 1,NA,NA,NA,"1896",NA,NA,NA,NA,NA,NA,NA,NA,NA,   22853,"NA",NA,"Burdwan District, Raghunathbati",86.92297,23.72464
"422",422,"Bengal","Raniganj","Burdwan","Ramnagar",NA, 1,NA,NA,NA,"1907",NA,NA,NA,NA,NA,NA,NA,NA,NA,   71637,"22.916790113451608"," 87.08231599491096","Burdwan District, Ramnagar",86.83363,23.74917
"423",423,"Bengal","Raniganj","Burdwan","Rana",NA, 1,NA,NA,NA,"1910",NA,NA,NA,NA,NA,NA,NA,NA,NA,    7250,"NA",NA,"Burdwan District, Rana",87.61864,23.45953
"424",424,"Bengal","Raniganj","Burdwan","Ranadanga",NA, 1,NA,NA,NA,"1901",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"24.650487666627125"," 87.86530892081336","Burdwan District, Ranadanga",87.61864,23.45953
"425",425,"Bengal","Raniganj","Burdwan","Raniganj",NA, 1,NA,NA,NA,"1820",NA,NA,NA,NA,NA,NA,NA,NA,NA,   56998,"23.62162757345692"," 87.09924296734782","Burdwan District, Raniganj",87.11426,23.62339
"426",426,"Bengal","Raniganj","Burdwan","Raniganj",NA, 1,NA,NA,NA,"1907",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"23.62162757345692"," 87.09924296734782","Burdwan District, Raniganj",87.11426,23.62339
"427",427,"Bengal","Raniganj","Burdwan","Salanpur",NA, 1,NA,NA,NA,"1891",NA,NA,NA,NA,NA,NA,NA,NA,NA,   75377,"23.770102596442424"," 86.87631686112111","Burdwan District, Salanpur",86.87723,23.77351
"428",428,"Bengal","Raniganj","Burdwan","Sanctoria",NA, 1,NA,NA,NA,"1861",NA,NA,NA,NA,NA,NA,NA,NA,NA,  109932,"23.70509009927886"," 86.82597660160359","Burdwan District, Sanctoria",86.82580,23.70559
"429",429,"Bengal","Raniganj","Burdwan","Sankarpur",NA, 1,NA,NA,NA,"1908",NA,NA,NA,NA,NA,NA,NA,NA,NA,   13133,"23.66655560949439"," 87.23015069342298","Burdwan District, Sankarpur",87.22949,23.66426
"430",430,"Bengal","Raniganj","Burdwan","Sarthakpur",NA, 1,NA,NA,NA,"1899",NA,NA,NA,NA,NA,NA,NA,NA,NA,   13616,"23.6689383296672"," 87.11652495868641","Burdwan District, Sarthakpur",87.11355,23.66018
"431",431,"Bengal","Raniganj","Burdwan","Satais",NA, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    6346,"NA",NA,"Burdwan District, Satais",87.61864,23.45953
"432",432,"Bengal","Raniganj","Burdwan","Sathpukuria",NA, 1,NA,NA,NA,"1895",NA,NA,NA,NA,NA,NA,NA,NA,NA,    4564,"23.703106517136664"," 87.00414544869412","Burdwan District, Sathpukuria",87.61864,23.45953
"433",433,"Bengal","Raniganj","Burdwan","Sathpukuria",NA, 1,NA,NA,NA,"1900",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"23.703106517136664"," 87.00414544869412","Burdwan District, Sathpukuria",87.61864,23.45953
"434",434,"Bengal","Raniganj","Burdwan","Sathpukuria",NA, 1,NA,NA,NA,"1907",NA,NA,NA,NA,NA,NA,NA,NA,NA,   36987,"23.703106517136664"," 87.00414544869412","Burdwan District, Sathpukuria",87.61864,23.45953
"435",435,"Bengal","Raniganj","Burdwan","Setlah",NA, 1,NA,NA,NA,"1908",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"NA",NA,"Burdwan District, Setlah",87.61864,23.45953
"436",436,"Bengal","Raniganj","Burdwan","Sibpur",NA, 1,NA,NA,NA,"1872",NA,NA,NA,NA,NA,NA,NA,NA,NA,  112941,"23.72218359072454"," 87.05973140961086","Burdwan District, Sibpur",87.88566,23.17619
"437",437,"Bengal","Raniganj","Burdwan","Singara","Jinkara?", 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"23.116982013858156"," 87.61917397875844","Burdwan District, Singara",87.61864,23.45953
"438",438,"Bengal","Raniganj","Burdwan","Sitalpur",NA, 1,NA,NA,NA,"1900",NA,NA,NA,NA,NA,NA,NA,NA,NA,  110935,"23.69184588239865"," 86.84425787654193","Burdwan District, Sitalpur",86.84399,23.69185
"439",439,"Bengal","Raniganj","Burdwan","Sodepur",NA, 1,NA,NA,NA,"1877",NA,NA,NA,NA,NA,NA,NA,NA,NA,  159768,"23.70841459068998"," 86.85559465215243","Burdwan District, Sodepur",87.53588,23.33479
"440",440,"Bengal","Raniganj","Burdwan","Sonachora",NA, 1,NA,NA,NA,"1899",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"23.629567353813194"," 87.15530880644343","Burdwan District, Sonachora",87.15351,23.63167
"441",441,"Bengal","Raniganj","Burdwan","Sonepur",NA, 1,NA,NA,NA,"1906",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"23.69793024624255"," 87.23604101789414","Burdwan District, Sonepur",87.23446,23.70002
"442",442,"Bengal","Raniganj","Burdwan","Sudihi",NA, 1,NA,NA,NA,"1895",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"23.731334783104725"," 86.91384681486373","Burdwan District, Sudihi",86.91357,23.73114
"443",443,"Bengal","Raniganj","Burdwan","Sudihi",NA, 1,NA,NA,NA,"1906",NA,NA,NA,NA,NA,NA,NA,NA,NA,   12023,"23.731334783104725"," 86.91384681486373","Burdwan District, Sudihi",86.91357,23.73114
"444",444,"Bengal","Raniganj","Burdwan","Sudihi",NA, 1,NA,NA,NA,"1888",NA,NA,NA,NA,NA,NA,NA,NA,NA,   15140,"23.731334783104725"," 86.91384681486373","Burdwan District, Sudihi",86.91357,23.73114
"445",445,"Bengal","Raniganj","Burdwan","Sundar Chak and Bamondihi",NA, 1,NA,NA,NA,"1873",NA,NA,NA,NA,NA,NA,NA,NA,NA,    8117,"22.865910133291948"," 86.96659276246751","Burdwan District, Sundar Chak and Bamondihi",75.30332,21.08112
"446",446,"Bengal","Raniganj","Burdwan","Sunkerpure",NA, 1,NA,NA,NA,"1908",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"23.66624056045621"," 87.22872598488958","Burdwan District, Sunkerpure",87.82919,22.97003
"447",447,"Bengal","Raniganj","Burdwan","Sunpur",NA, 1,NA,NA,NA,"1909",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"23.69793024624255"," 87.23604101789414","Burdwan District, Sunpur",87.23446,23.70002
"448",448,"Bengal","Raniganj","Burdwan","Topsi",NA, 1,NA,NA,NA,"1874",NA,NA,NA,NA,NA,NA,NA,NA,NA,   23767,"23.661694119145007"," 87.12784099830174","Burdwan District, Topsi",87.12982,23.66245
"449",449,"Bengal","Raniganj","Burdwan","Viceroy",NA, 1,NA,NA,NA,"1906",NA,NA,NA,NA,NA,NA,NA,NA,NA,   10895,"NA",NA,"Burdwan District, Viceroy",87.61864,23.45953
"450",450,"Bengal","Raniganj","Burdwan","Viceroy",NA, 1,NA,NA,NA,"1907",NA,NA,NA,NA,NA,NA,NA,NA,NA,   26904,"NA",NA,"Burdwan District, Viceroy",87.61864,23.45953
"451",451,"Bengal","Raniganj","Burdwan","Bamondihi",NA,NA, 1,NA,NA,"1877",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"22.865910133291948"," 86.96659276246751","Burdwan District, Bamondihi",87.61864,23.45953
"452",452,"Bengal","Raniganj","Burdwan","Bamondihi",NA,NA, 1,NA,NA,"1880",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"22.865910133291948"," 86.96659276246751","Burdwan District, Bamondihi",87.61864,23.45953
"453",453,"Bengal","Raniganj","Burdwan","Bamondihi",NA,NA, 1,NA,NA,"1898",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"22.865910133291948"," 86.96659276246751","Burdwan District, Bamondihi",87.61864,23.45953
"454",454,"Bengal","Raniganj","Burdwan","Ban Bishtupur",NA,NA, 1,NA,NA,"1899",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"23.06658278444872"," 87.31630460825738","Burdwan District, Ban Bishtupur",87.44553,23.59361
"455",455,"Bengal","Raniganj","Burdwan","Barabani",NA,NA, 1,NA,NA,"1884",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"23.748037648316267"," 87.0123642722006","Burdwan District, Barabani",87.00994,23.74937
"456",456,"Bengal","Raniganj","Burdwan","Barabani",NA,NA, 1,NA,NA,"1894",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"23.748037648316267"," 87.0123642722006","Burdwan District, Barabani",87.00994,23.74937
"457",457,"Bengal","Raniganj","Burdwan","Barabani","West",NA, 1,NA,NA,"1896",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"23.748037648316267"," 87.0123642722006","Burdwan District, Barabani",87.00994,23.74937
"458",458,"Bengal","Raniganj","Burdwan","Barabani","South",NA, 1,NA,NA,"1906",NA,NA,NA,NA,NA,NA,NA,NA,NA,    7891,"23.748037648316267"," 87.0123642722006","Burdwan District, Barabani",87.00994,23.74937
"459",459,"Bengal","Raniganj","Burdwan","Barabani","New",NA, 1,NA,NA,"1908",NA,NA,NA,NA,NA,NA,NA,NA,NA,     674,"23.748037648316267"," 87.0123642722006","Burdwan District, Barabani",87.00994,23.74937
"460",460,"Bengal","Raniganj","Burdwan","Barachak",NA,NA, 1,NA,NA,"1881",NA,NA,NA,NA,NA,NA,NA,NA,NA,    3118,"23.70700362638459"," 86.92818645566284","Burdwan District, Barachak",86.92802,23.70730
"461",461,"Bengal","Raniganj","Burdwan","Bardwan","New",NA, 1,NA,NA,"1909",NA,NA,NA,NA,NA,NA,NA,NA,NA,    4844,"23.235958733531383"," 87.86007550748461","Burdwan District, Bardwan",87.86148,23.23242
"462",462,"Bengal","Raniganj","Burdwan","Begunia",NA,NA, 1,NA,NA,"1888",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"23.735307280697036"," 86.81223742041185","Burdwan District, Begunia",88.13646,23.26120
"463",463,"Bengal","Raniganj","Burdwan","Begunia",NA,NA, 1,NA,NA,"1889",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"23.735307280697036"," 86.81223742041185","Burdwan District, Begunia",88.13646,23.26120
"464",464,"Bengal","Raniganj","Burdwan","Begunia",NA,NA, 1,NA,NA,"1890",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"23.735307280697036"," 86.81223742041185","Burdwan District, Begunia",88.13646,23.26120
"465",465,"Bengal","Raniganj","Burdwan","Begunia Khas",NA,NA, 1,NA,NA,"1893",NA,NA,NA,NA,NA,NA,NA,NA,NA,    8754,"23.735307280697036"," 86.81223742041185","Burdwan District, Begunia Khas",88.13646,23.26120
"466",466,"Bengal","Raniganj","Burdwan","Begunia",NA,NA, 1,NA,NA,"1905",NA,NA,NA,NA,NA,NA,NA,NA,NA,     950,"23.735307280697036"," 86.81223742041185","Burdwan District, Begunia",88.13646,23.26120
"467",467,"Bengal","Raniganj","Burdwan","Benakuri","Location unclear",NA, 1,NA,NA,"1906",NA,NA,NA,NA,NA,NA,NA,NA,NA,   23977,"23.662244783206443"," 87.12942965479829","Burdwan District, Benakuri",87.61864,23.45953
"468",468,"Bengal","Raniganj","Burdwan","Bhanora",NA,NA, 1,NA,NA,"1898",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"23.729735937414475"," 86.99729885418722","Burdwan District, Bhanora",87.02494,23.73183
"469",469,"Bengal","Raniganj","Burdwan","Bhutdoba","Location unclear",NA, 1,NA,NA,"1895",NA,NA,NA,NA,NA,NA,NA,NA,NA,    2484,"23.67384870435616"," 87.01260362530994","Burdwan District, Bhutdoba",87.61864,23.45953
"470",470,"Bengal","Raniganj","Burdwan","Bhutdoba","Location unclear",NA, 1,NA,NA,"1899",NA,NA,NA,NA,NA,NA,NA,NA,NA,     722,"23.67384870435616"," 87.01260362530994","Burdwan District, Bhutdoba",87.61864,23.45953
"471",471,"Bengal","Raniganj","Burdwan","Bhutmora",NA,NA, 1,NA,NA,"1910",NA,NA,NA,NA,NA,NA,NA,NA,NA,     198,"NA",NA,"Burdwan District, Bhutmora",87.61864,23.45953
"472",472,"Bengal","Raniganj","Burdwan","Binadikatta","Location of closest PO",NA, 1,NA,NA,"1906",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"23.78852039625751"," 86.92550288514335","Burdwan District, Binadikatta",87.61864,23.45953
"473",473,"Bengal","Raniganj","Burdwan","Bisramabad",NA,NA, 1,NA,NA,"1909",NA,NA,NA,NA,NA,NA,NA,NA,NA,      30,"NA",NA,"Burdwan District, Bisramabad",87.61864,23.45953
"474",474,"Bengal","Raniganj","Burdwan","Bonbahal",NA,NA, 1,NA,NA,"1876",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"23.677040538124015"," 87.21971890551896","Burdwan District, Bonbahal",87.21953,23.67597
"475",475,"Bengal","Raniganj","Burdwan","Bojimari","Location unclear",NA, 1,NA,NA,"1898",NA,NA,NA,NA,NA,NA,NA,NA,NA,    1250,"23.814752104562697"," 86.88313257380072","Burdwan District, Bojimari",87.61864,23.45953
"476",476,"Bengal","Raniganj","Burdwan","Champtoria",NA,NA, 1,NA,NA,"1908",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"NA",NA,"Burdwan District, Champtoria",87.61864,23.45953
"477",477,"Bengal","Raniganj","Burdwan","Charanpur",NA,NA, 1,NA,NA,"1875",NA,NA,NA,NA,NA,NA,NA,NA,NA,   78897,"23.672362545123494"," 86.95296305809005","Burdwan District, Charanpur",87.61864,23.45953
"478",478,"Bengal","Raniganj","Burdwan","Chota Dhemo",NA,NA, 1,NA,NA,"1883",NA,NA,NA,NA,NA,NA,NA,NA,NA,   32013,"23.70220386151961"," 86.90659044065885","Burdwan District, Chota Dhemo",87.61864,23.45953
"479",479,"Bengal","Raniganj","Burdwan","Chota Dhemo",NA,NA, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    2721,"23.70220386151961"," 86.90659044065885","Burdwan District, Chota Dhemo",87.61864,23.45953
"480",480,"Bengal","Raniganj","Burdwan","Chota Dhemo",NA,NA, 1,NA,NA,"1885",NA,NA,NA,NA,NA,NA,NA,NA,NA,    8688,"23.70220386151961"," 86.90659044065885","Burdwan District, Chota Dhemo",87.61864,23.45953
"481",481,"Bengal","Raniganj","Burdwan","Chotapathar",NA,NA, 1,NA,NA,"1906",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"NA",NA,"Burdwan District, Chotapathar",87.61864,23.45953
"482",482,"Bengal","Raniganj","Burdwan","Chotonuni",NA,NA, 1,NA,NA,"1908",NA,NA,NA,NA,NA,NA,NA,NA,NA,    2712,"NA",NA,"Burdwan District, Chotonuni",87.61864,23.45953
"483",483,"Bengal","Raniganj","Burdwan","Damra","New",NA, 1,NA,NA,"1899",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"23.650033580456974"," 87.01171667156723","Burdwan District, Damra",87.01494,23.64840
"484",484,"Bengal","Raniganj","Burdwan","Damra",NA,NA, 1,NA,NA,"1892",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"23.650033580456974"," 87.01171667156723","Burdwan District, Damra",87.01494,23.64840
"485",485,"Bengal","Raniganj","Burdwan","Dhadka",NA,NA, 1,NA,NA,"1905",NA,NA,NA,NA,NA,NA,NA,NA,NA,   10397,"23.291562218468624"," 87.15091031576306","Burdwan District, Dhadka",86.98118,23.69977
